action,keywords,parent,description,title,application_type
fep_lig_prot_mutation_gui.panel,,,Evaluate the change in binding free energy on mutation of a protein residue in the presence of a ligand to determine whether the residue is important for ligand selectivity.<br/>Opens the FEP Protein Mutation for Ligand Selectivity panel.,,
fep_pb_results_gui.panel,,,View the results of a FEP+ Protocol Builder job<br/>Opens the FEP+ Protocol Builder Results Viewer Panel.,FEP Protocol Builder Results Viewer...,FEP+
fep_plus_gui.panel,"FEP, free energy perturbations",,"Set up, run, and analyze FEP calculations for the relative binding affinities of a set of congeneric ligands to a target.<br/>Opens the FEP+ panel</a>.",FEP+...,Free Energy Perturbation
fep_plus_pb_gui.panel,,,Generate a set of FEP+ protocols and use machine learning to identify an optimal protocol for the system.<br/>Opens the FEP+ Protocol Builder Panel.,FEP Protocol Builder...,FEP+
fep_pose_builder_gui.panel,"pose generation, FEP pose generation, FEP pose preparation, pose preparation",,,FEP+ Pose Builder...,Structure Alignment
fep_protein_gui.panel,"FEP+, FEP, free energy perturbations, Protein Affinity, Protein Stability",,Calculate the change in binding affinity of two proteins or the change in stability of a single protein due to a set of single mutations.<br/>Opens the FEP Protein Mutation panel</a>.,Protein FEP...,Free Energy Perturbation
fep_scanning_gui.panel,,,"Set up new ligands by scanning through the hydrogens on a ligand structure, replacing them with selected small groups, and scanning ring carbons for heteroatom substitution. FEP+ jobs are run for each ligand substitution to order them by binding free energy.<br/>Opens the FEP+ Scanning panel.",,
fep_solubility_gui.panel,"solubility, free energy, Desmond, FEP+, FEP, free energy perturbations",,Calculate the aqueous solubility of a set of ligands from FEP calculations that model the dissolution of a solid form of the ligand in water.<br/>Opens the FEP Solubility panel.,Solubility FEP...,Free Energy Perturbation
fep_web_services_gui.panel,"FEP+, FEP, free energy perturbations",,Submit and Monitor jobs run using FEP+ Web Services.<br/>Opens the FEP+ Web Services Job Table Panel.,FEP+ Web Services Monitor...,Free Energy Perturbation
fepmutation_results_gui.panel,,,Examine the results of a residue mutation for ligand selectivity in a table.<br/>Opens the FEP+ Residue Mutation for Ligand Selectivity Results panel.,,
ffbuilder_gui.panel,,,Customize torsions that are not explicitly included in the OPLS4 / OPLS5 force fields by fitting to quantum-mechanical calculations for a set of molecules.<br/>Opens the Force Field Builder panel.,,
ffprojectsettings,"Custom Parameters, Project Setting, Project Location",,,Set Project Force Field Location...,Project Table and Project Operations
ffview,,,"Examine force-field interactions from a MacroModel calculation, run with a complete energy listing.<br/>Opens the Force Field Viewer panel.",,
field_based_qsar,,,,Field-Based QSAR...,Other Applications
fieldqsar,,,"<!-- CoMFA, CoMSIA, 3D QSAR -->
Build and apply a QSAR model for a set of ligands, based on electrostatic (force-field) and Gaussian fields.<br/>Opens the Field-Based QSAR panel.",,
filter_duplicates.run,ligfilter,,"Remove duplicate compounds from the Project Table selection, taking into account ionization and tautomeric states.",Filter Duplicates,Project Table and Project Operations
finite_dos_viewer_gui.panel,,,Plot the density of states from a molecular DFT calculation as a function of energy.<br/>Opens the Molecular Density of States Viewer Panel.,,
fix_bond_orders.fix_unsaturated_bond_orders,,,Assign bond orders to bonds that should be unsaturated.,,
flex_ligand_alignment,,,,Ligand Alignment...,Structure Alignment
flex_ligand_alignment_gui.panel,,,"Align a set of ligand structures flexibly with torsional variation, using the best available method.<br/>Opens the Ligand Alignment panel.",,
flexligalign,,,"Perform a flexible alignment of the entries that are selected in the Project Table. The first selected entry is used as a template, and is kept as is. For the remaining ligands, a ligand torsional search is performed to find the conformer that has the best overlap with the template.<br/>Opens the Flexible Ligand Alignment panel.",,
force_field_builder,"forcefield, force field, forcefield builder, force field builder, ffbuilder, torsion, FEP, free energy perturbations",ffbuilder_gui.panel,,Force Field Builder...,Free Energy Perturbation
fragment_clustering,,,,2D Fragment Clustering,Discovery Informatics and QSAR
free_volume_analysis_gui.panel,,,"Determine the location and sizes of voids (free volume) in a set of structures, which can then be analyzed and displayed.<br/>Opens the Free Volume Analysis panel.",,
free_volume_analysis_viewer_gui.panel,,,Display plots of the distribution of sizes and location of voids (free volume) in a structure.<br/>Opens the Free Volume Analysis Viewer panel.,,
function_key_macros,,,Function Key Macros</span></a>&mdash;Create and edit macros that can be bound to the F<i>n</i> function keys.<br/>Opens the Function Key Macros panel.,,
gen_smarts,SMILES,,,Generate SMARTS,Project Table and Project Operations
gen_smarts.add_smarts,,,Generate a SMARTS pattern for the selected entries and add it as a project property.,,
gen_smiles,SMILES,,,Generate SMILES,Project Table and Project Operations
gen_smiles.run,,,Generate a SMILES pattern for the selected entries and add it as a project property.,,
get_pdb,,,"Import a structure from the PDB, either from a local installation or from the web.<br/>Opens the Get PDB File dialog box.",,
get_pdb_task,"get pdb, PDB, getpdb, get_pdb",,,Get PDB Structure...,Protein Preparation and Refinement
glide_core_hopping_gui.show_panel,,,"Find alternative scaffolds for a template ligand by defining the scaffold, replacing it by a set of alternative scaffolds with optional linkers, then docking the resulting ligands to a receptor to score and rank them.<br/>Opens the Glide-Based Core Hopping panel.",,
glide_cross_docking,"dock, docking, XP, SP, Glide, GOLD, cross docking, xglide",,,Cross Docking...,Receptor-Based Virtual Screening
glide_dock,,glide_docking_gui.panel,,,
glide_docking,"dock, docking, binding, virtual screen, screening, XP, SP, HTVS, protein-ligand binding, Glide, GOLD, core constraints, ligand-binding, rigid receptor docking",,,Ligand Docking...,Receptor-Based Virtual Screening
glide_docking_gui.panel,,,"Dock ligands to a protein target (Glide), using pregenerated receptor grids. Includes settings for ligand sampling, pose filtering and post-processing; setting constraints to the receptor, a ligand core, or on ligand torsions; and using similarity or dissimilarity screening.<br/>Opens the Ligand Docking panel.<!-- sp, xp, htvs, docking -->",,
glide_docking_v2_gui.panel,"dock, docking, binding, virtual screen, screening, XP, SP, HTVS, protein-ligand binding, Glide, GOLD, core constraints, ligand-binding, rigid receptor docking",,,Ligand Docking (Beta)...,Receptor-Based Virtual Screening
glide_grid,,glide_gridgen_gui.panel,,,
glide_gridgen,"dock, docking, grid generation, glide grid, Glide, GOLD, grid gen",,,Receptor Grid Generation...,Receptor-Based Virtual Screening
glide_gridgen_gui.panel,,,"<!-- Glide, sp, xp, htvs -->
Set up and calculate the grids required for docking ligands to a protein target using Glide. Includes options to soften potentials to simulate some protein flexibility, and specification of constraints, rotatable hydroxyls and thiols, and excluded volumes.<br/>Opens the Receptor Grid Generation panel.",,
glide_ligand_designer_gui.panel,,,"Design a ligand in the context of a receptor, by modifying its structure and then scoring it with Glide.<br/>Opens the Glide Ligand Designer panel.",,
glide_view_poses,"dock, docking, XP, SP, Glide, GOLD, analyze docking, pose, poseviewer, review docking",,,Pose Viewer...,Receptor-Based Virtual Screening
glideem,Ligand fitting,,,,
glideem_glide_em_gui,"glide, glidemap",,,GlideEM (Beta)...,Other Applications
glidews_docking_gui.panel,"Glide WS, WScore",,"Dock ligands to a Glide WS model, which includes an ensemble of protein structures for assessment of small induced fit effects and protein reorganization. The scoring includes terms for water displacement and desolvation effects, molecular recognition (H-bonds, hydrophobic enclosure, etc), ligand strain, salt bridges.<br/>Opens the Glide WS - Docking panel.",Glide WS Docking...,Receptor-Based Virtual Screening
glidews_model_generation,"modelgen, Glide WS, WScore",,,Glide WS Model Generation (deprecated)...,Receptor-Based Virtual Screening
glidews_modelgen_gui.panel,,,"Build a trained scoring model for docking to a particular protein target. The model uses an ensemble of protein structures for the target, data from assessment of water thermodynamics from MD simulations (WaterMap), experimental binding affinities for known ligands, which form a training set, a test set of actives and a set of decoys to determine the enrichment of the training set and the test set. The scoring function includes penalties and interactions that are specific to the target.<br/>Opens the Glide WS - Model Generation panel.",,
glidews_modelgen_v2_gui.panel,"modelgen, Glide WS, WScore",,Opens the Glide WS Model Generation Panel.,Glide WS Model Generation...,Receptor-Based Virtual Screening
glidews_visualizer_gui.panel,"visualizer, Glide WS, WScore",,,Glide WS Visualizer...,Receptor-Based Virtual Screening
glidextal_glide_em_gui,"glide, glidemap",,,GlideXtal (Beta)...,Other Applications
gpcr_generic_numbering.panel,,,Assign generic numbers to a GPCR structure in the Workspace using either the rhodopsin or beta-2 adrenergic receptor structures.<br/>Opens the GPCR Generic Numbering panel.,,
gpu_similarity,"GPUsimFP, FPSim GPU, Fingerprint Similarity Search (GPU), FPsim-GPU, database screening, GPU",,,FPsim-GPU...,Ligand-Based Virtual Screening
gpusimilarity_gui.panel,,,Search a selection of public databases for molecules that are similar to the input molecule.<br/>Opens the GPUSimilarity Search panel.,,
grid_scan,"QM, quantum mechanics",,,Probe Grid Scan...,Quantum Mechanics
hartree_to_kcal,"QM, Jaguar",,,Jaguar/QSite Energy Converter,Project Table and Project Operations
hartree_to_kcal.run,,,"Calculate the relative energy in kcal/mol based on the Jaguar or QSite QM Energy in hartrees for the selected entries in the Project Table, and add it as a property.",,
hbonds_contacts_panel,,,Set the criteria for displaying H-bond and Contact markers in the Workspace and pick atoms to display the markers.<br/>Opens the H-Bonds and Contacts panel.,,
helix_manipulator.panel,,,Manipulate phi/psi dihedral angles and positions of helices in a GPCR. Intended to simplify manual refinement of GPCR homology models.<br/>Opens the GPCR Helix Manipulator panel.,,
help_contact,,,Open the Contact Support web page in your browser so you can submit a request for technical support.,,
help_keyboard_shortcut,,,Open a help topic in the Help panel that describes use of keyboard keys in Maestro.,,
help_knowledge_base,,,Open the Knowledge Base web page in your browser so you can search for information in our knowledge base.,,
help_new_features,,,Open the Maestro new features web page in your browser.,,
help_onlinehelp,,,Open the Getting Help topic in the Help panel. This topic explains the help system and has links to several other locations at which you can find information.,,
help_tutorials,,,"Choose a tutorial, copy files for the tutorial, and open the tutorial instructions. <br/>Opens the Tutorials panel.",,
highlights,,,"Create, modify, delete, or apply highlights to atoms in the Workspace.  <br/>Opens the Manage Highlights panel.",,
hit_analysis_gui.panel,,,Analyze the results of a screen to filter and cluster the hits by their properties.<br/>Opens the Hit Analyzer Panel.,,
hit_analyzer,"screening, filtering",,,Hit Analyzer...,Ligand-Based Virtual Screening
hit_expansion_gui.panel,,,"Extract ligands from a file or Phase database that are similar to a small set of ligands (hits), using fingerprint similarity.<br/>Opens the Hit Expansion panel.",,
hit_expansion_workflow,enumeration,,,Hit Expansion...,Ligand-Based Virtual Screening
homology_model_simple_gui.panel,,,"Simple interface for generating a protein homology modeling structure, appropriate for cases where there is high homology between the query sequence to be predicted and a model template. Uses a Blast search of the PDB to identify the best template, then generates the optimal alignment between the two sequences, and produces a structure with minimal intervention.<br/>Opens the Homology Model panel.",,
homology_modeling,,prime_homology_modeling,,,
hopping_and_mobility_gui.panel,,,"Compute the carrier mobility of an amorphous structure as generated from a molecular dynamics simulation with Desmond. Marcus theory is used for the hopping rate, based on constrained DFT calculations for the electron transfer between donor and acceptor pairs.<br/>Opens the Marcus Rate and Mobility panel.",,
hopping_gui.panel,,,"Compute the charge transfer rate between molecules in a structure that consists of multiple molecules (monomers), using Marcus theory and density functional calculations for the coupling matrix element. <br/>Opens the Electron Coupling panel.",,
hppmap,,,Create hydrophobic and hydrophilic surfaces for a protein. <br/>Opens the Hydrophobic/philic Surfaces panel.,Hydrophobic/philic...,Structure Analysis
hpt_add_shortcut,,,,,
hpt_open_property_tree,,,,,
hpt_remove_shortcut,,,,,
hpt_select_invert_groups,,,,,
hpt_show_2d_images,,,,,
hpt_view_chart,,,"View or edit a saved chart, or create a new chart.<br/>Opens the View Chart Panel.",,
hybridmc,,,"Run hybrid Monte Carlo simulations to search nearby conformational space, through a sequence of short, high-temperature molecular dynamics simulations followed by minimization. New conformations are accepted or rejected based on standard Monte Carlo criteria. The result is either the lowest-energy conformations or all of the conformations produced from each MD/minimization step.<br/>Opens the Hybrid Monte Carlo panel.",,
ifd,"Glide, GOLD",,,Induced Fit Docking...,Receptor-Based Virtual Screening
ifd_gui.panel,,,"Dock a set of ligands, then allow the parts of the receptor near the ligands to relax, and redock them into the relaxed receptor.<br>Opens the Induced Fit Docking panel.",,
ifd_md_gui.panel,"dock, covalent binding, ifd, ifd-md, induced, induced-fit, crossdock, cross-dock, conformational selection, pose generation, Covalent",,Dock ligands to a receptor using a template complex with the IFD-MD protocol.<br/>Opens the IFD-MD panel.,IFD-MD...,Receptor-Based Virtual Screening
impact_dynamics,,,"<!-- MD, impact -->
Run a molecular dynamics simulation on a structure, in the NVT, NVE, or NPT ensembles, with optional periodic boundary conditions and explicit solvent.<br/>Opens the Impact Dynamics panel.",,
impact_hybrid_mc,,,"<!-- MC/MD, MC, MD, impact -->
Run a hybrid Monte Carlo molecular dynamics simulation on a structure.<br/>Opens the Impact Hybrid Monte Carlo panel.",,
impact_minimization,,,"<!-- impact, minimization, optimization -->
Minimize the geometry of a structure. Options include periodic boundary conditions, force-field and method selection, continuum solvation, and constraints.<br/>Opens the Impact Energy Minimization panel.",,
impact_soak,,,"<!-- impact, solvent -->
Surround a structure with a box of solvent water molecules.<br/>Opens the Soak panel.",,
import_favorite_structures_gui.panel,,,"Import structures from a set of favorites, which you can also create and maintain in this panel.<br/>Opens the Import Favorite Structures Panel.",,
import_from_ld,"LiveDesign, LD",,,Import from LiveDesign...,Discovery Informatics and QSAR
import_slabs_gui.panel,,,"Import slabs from a library in the installation, which contains already prepared slabs of common materials.<br/>Opens the Import Slabs panel",,
induced_fit_docking,"dock, docking, XP, SP, collapsed binding site, enhanced sampling, flexible, flexible receptor docking, ifd, induced, induced-fit",,,Induced Fit Docking...,Induced Fit Docking
interaction_fingerprints,"cheminformatics, fingerprint, interaction, SIFT, SPLIF",,,Structural Interaction Fingerprints...,Biologics
interaction_fingerprints_gui.panel,,,"Generate fingerprints for interactions between a receptor and a set of ligands, and use the fingerprints for similarity analysis and clustering.<br/>Opens the Interaction Fingerprints panel.",,
interactive_pose_prediction_gui.panel,,,Interactively modify a ligand and predict its poses using Glide docking.<br/>Opens the Interactive Pose Prediction panel.,,
ipython_terminal.panel,,,Open a panel with an IPython shell that is set up for access to the Schrodinger Python API.<br/>Opens the IPython with Maestro Integration panel.,,
isosteric_matching_gui.show_panel,,,"Find alternative scaffolds for a template ligand by defining a scaffold, replacing the scaffold with a set of alternatives, and scoring the ligands based on their shape similarity to the template, with optional application of excluded volumes and flexible alignment (conformational adjustment).<br/>Opens the Isosteric Matching panel.",,
jaguar_gui.autoconf_panel,"quantum mechanics, conformer generation, conformation, conformational search, conformer, tautomer, tautomer generator, ranking by energy",,,QM Conformer and Tautomer Predictor...,Quantum Mechanics
jaguar_gui.counterpoise_panel,"QM, quantum mechanics, Jaguar",,Calculate the quantum mechanical dissociation energy of a nonbonded dimer by the counterpoise method.<br>Opens the Jaguar panel.,Counterpoise...,Quantum Mechanics
jaguar_gui.fukui_panel,"QM, quantum mechanics, Jaguar",,"Calculate Fukui functions for addition and removal of electrons, by a finite difference method. The functions are stored on a grid and can be displayed in Maestro as surfaces.<br/>Opens the Jaguar panel.",Fukui Functions...,Quantum Mechanics
jaguar_gui.hb_panel,"QM, quantum mechanics, Jaguar, hbond",,Calculate the binding energy of a pair of hydrogen-bonded molecules in the gas phase using quantum mechanical methods.<br/>Opens the Jaguar panel.,Hydrogen Bond Strength...,Quantum Mechanics
jaguar_gui.initial_guess_panel,,,Generate an initial guess of the wave function for one or more molecules.<br/>Opens the Jaguar panel.,,
jaguar_gui.kenny_panel,"QM, quantum mechanics, Jaguar, Kenny",,"Evaluate the electrostatic potential at specific points near hydrogen bond donors and acceptors, as a measure of the hydrogen bond strength.<br/>Opens the Hydrogen Bond Basicity Prediction panel.",Hydrogen Bond Basicity...,Quantum Mechanics
jaguar_gui.optimization_panel,"QM, quantum mechanics, Jaguar, Normal Mode",,Optimize the geometry of structures by quantum-mechanical energy minimization.<br/>Opens the Jaguar panel.,Optimization...,Quantum Mechanics
jaguar_gui.pka_panel,"QM, quantum mechanics, Jaguar-pKa, Jaguar pKa, micro pka, micropka, micro-pka, macro-pka, macro pka, macropka, Jaguar, acidity, protonation, QM pKa",,Predict the p<i>K</i><sub>a</sub> and p<i>K</i><sub>b</sub> of acidic or basic molecules using quantum mechanical methods.<br/>Opens the Jaguar panel.,pKa...,Quantum Mechanics
jaguar_gui.reaction_coord_panel,"QM, quantum mechanics, Jaguar, IRC, intrinsic, intrinsic reaction coordinate",,"Calculate the quantum-mechanical energy of a structure along a reaction coordinate, from the transition state towards the reactant or product structures, or both.<br/>Opens the Jaguar panel.",Reaction Coordinate...,Quantum Mechanics
jaguar_gui.reaction_panel,"QM, quantum mechanics, Jaguar",,Calculate the enthalpy of a reaction for a supplied set of reactants and products.<br/>Opens the Jaguar panel.,Reaction...,Quantum Mechanics
jaguar_gui.relaxed_scan_panel,"QM, quantum mechanics, coordinate scan, Jaguar, scan, torsion scan",,"<!-- scan, relaxed -->
Calculate the energy of a structure as a function of up to 5 selected coordinates, with other coordinates optimized, using quantum-mechanical methods.<br/>Opens the Jaguar panel.",QM Relaxed...,Structure Analysis
jaguar_gui.rigid_scan_panel,"QM, quantum mechanics, coordinate scan, Jaguar, torsion scan",,"<!-- scan, rigid -->
Calculate the energy of a structure as a function of up to 5 selected coordinates, with other coordinates fixed, using quantum-mechanical methods.<br/>Opens the Jaguar panel.",QM Rigid...,Structure Analysis
jaguar_gui.run_batch_panel,,,Run a Jaguar batch job with a selected batch script and a set of structures.<br/>Opens the Jaguar - Run Batch File panel.,,
jaguar_gui.run_input_panel,Jaguar,,Run Jaguar for a selected set of input files.<br/>Opens the Jaguar - Run Input Files panel.,Run Input Files...,Jaguar
jaguar_gui.spe_panel,"QM, quantum mechanics, Jaguar",,Calculate the quantum-mechanical energy of structures at their current geometry.<br/>Opens the Jaguar panel.,Single Point Energy...,Quantum Mechanics
jaguar_gui.transition_state_panel,"transition state, QM, quantum mechanics, Jaguar, reaction path",,"Search for a transition state between reactant and product structures, using quantum mechanical methods.<br/>Opens the Jaguar panel.",Transition State Search...,Quantum Mechanics
jaguar_multistage_workflow_gui.panel,,,"Set up a multistage workflow of quantum mechanical single point, optimization, and transition state search jobs, in which the output from each stage is used as input to the next.<br/>Opens the QM Multistage Workflow panel.",,
jobs_monitor,,,Manage and monitor the progress of any Schr&ouml;dinger computational job.<br/>Opens the Monitor panel.,,
kinase_conservation_analysis,"kinase, conservation, selectivity",,,Kinase Conservation Analysis...,Structure Analysis
kinase_conservation_gui.panel,,,Annotate ligand binding residues and calculate a position specific conservation score.<br/>Opens the Kinase Conservation Analysis Panel.,,
kmc_analyze_energetic_disorder_gui.panel,,,Plot histograms of the variation in site energies and coupling integrals for a selected structure for which these properties have been calculated.<br/>Opens the Analyze Energetic Disorder panel.,,
kmc_compute_charge_mobility_gui.panel,,,"Compute charge mobility in an amorphous solid using kinetic Monte Carlo methods for carrier hopping, based on hopping data from Jaguar and QSite calculations.<br/>Opens the Compute KMC Charge Mobility panel.",,
kmc_database_browser_gui.panel,,,View KMC Database data as tables and export data from the tables.<br/>Opens the KMC Database Browser panel.,,
kmc_plot_charge_mobility_gui.panel,,,Plot the charge mobility and velocity from kinetic Monte Carlo calculations against the applied field.<br/>Opens the Plot KMC Charge Mobility panel.,,
kmc_restart_hopping_gui.panel,,,"Restart calculations for charge hopping parameters that failed, optionally with changed keywords and values.<br/>Opens the Restart Hopping Parameter Calculations panel.",,
kmc_visualize_charge_transport_gui.panel,,,"Visualize the results of kinetic Monte Carlo charge mobility calculations in the Workspace, using data from sites and nearest neighbors to configure the display.<br/>Opens the Visualize KMC Charge Transport panel.",,
knime_connect,"exchange, connector, KNIME",,,Establish Structure Exchange with KNIME...,Project Table and Project Operations
labelatom,,,Label atoms with one or more properties. The label can be composed of atom-level or entry-level properties.<br/>Opens the Atom Labels panel.,,
labelbonds,,,Label bonds with one or more bond properties.<br/>Opens the Bond Labels panel.,,
lead_opt_docking_gui.panel,,,Make structural modifications to a ligand docked to a receptor and score the modifications with Glide. <br/>Opens the Lead Optimization Docking panel.,,
ligand_and_structure_based_descriptors,,,"Generate descriptors for a structure-based QSAR model of ligand binding to a receptor. The descriptors can include ADME properties (QikProp), properties related to binding energies (Prime MM-GBSA, and MacroModel), and counts of a wide range of ligand substructures (functional groups).<br/>Opens the Ligand and Structure-Based Descriptors panel.",,
ligand_clustering,"cheminformatics, clustering, fingerprint",,,,
ligand_core_hopping_gui.show_panel,,,"Find alternative scaffolds for a template ligand by defining a scaffold, replacing the scaffold with a set of alternatives, and scoring the ligands based on their shape similarity to the template and optional matching of designated hydrogen bonds.<br/>Opens the Ligand-Based Core Hopping panel.",,
ligand_designer,ligand designer,,,Ligand Designer...,Lead Optimization
ligand_designer_gui.panel,,,Interactively design a ligand in the context of a receptor to optimize its binding and properties.<br/>Opens the Ligand Designer panel.,,
ligand_fep.panel,,,"Calculate the change in binding free energy for mutation of a ligand that is docked to a receptor, by FEP.<br/>Opens the Ligand FEP panel.",Ligand FEP...,Free Energy Perturbation
ligand_filtering,"small molecule analysis, ligfilter",,,Ligand Filtering...,Structure Analysis
ligand_preferences,Ligand definition,,Adjust the settings that define ligands.<br/>Opens the Preferences panel at the Ligand Detection page.,Preferences...,Ligand Preparation and Library Design
ligand_rgroup_rotation,,,,Ligand R-Group Rotation...,Ligand Preparation and Library Design
ligand_rgroup_rotation_gui.panel,,,Rotate a specified R group by a specified angle in a set of related ligands.<br/>Opens the Ligand R-group Rotation panel.,,
ligfilter_gui.panel,,,"Set up filtering criteria for a set of structures, which are represented as a set of conditions on Maestro properties, certain predefined feature counts, or counts of SMARTS patterns for functional groups. When you have set up the criteria, you can run a job to apply the criteria to the structures and return those that match or that do not match.<br/>Opens the Ligand Filtering panel.",,
ligprep,"prepare, 2D, conversion, LigPrep, ligand preparation, Mol file, preparation, SMILES",,,LigPrep (3D Conversion)...,Ligand Preparation and Library Design
ligprep_fep.panel,,,,Ligand FEP...,Desmond
ligprep_gui.panel,,,"<!-- LigPrep, ligand preparation, stereoisomers, ring conformations -->
Convert 1D (SMILES), 2D, or 3D structures to low-energy 3D structures, with possible elaboration of protonation and tautomeric states and stereochemistry.<br/>Opens the LigPrep panel.",,
locate_ring_spears_gui.panel,,,Locate parts of the structure in the Workspace that go through the middle of (&quot;spear&quot;) a ring.<br/>Opens the Locate Ring Spears panel.,,
low_mode_gui.panel,,,Calculate the nontrivial low-frequency vibrational modes of a protein structure and visualize them as a movie.<br/>Opens the Low Mode Vibrational Sampling panel at the Calculate tab.,,
low_mode_gui.results_panel,,,Calculate and visualize the low-frequency vibrational modes of a structure.<br/>Opens the Low Mode Vibrational Sampling panel at the Visualize tab.,,
macrocycle_conformational_sampling.panel,,,Sample the conformations of macrocyclic structures using the LLMOD large scale conformational sampling method.<br/>Opens the Macrocycle Conformational Sampling Panel.,,
macromodel_coordinate_scan,"coordinate scan, MacroModel",,,Force-Field...,Structure Analysis
macromodel_csearch,"MacroModel, enhanced sampling",,,Conformational Search...,MacroModel
macromodel_current_energy,MacroModel,,,Current Energy...,MacroModel
macromodel_dynamics,MacroModel,,,Dynamics...,MacroModel
macromodel_embrace,MacroModel,,,Embrace Minimization...,MacroModel
macromodel_embrace_csearch,MacroModel,,,Embrace Conformational Search...,MacroModel
macromodel_macrocycle_sampling,"MacroModel, sampling",,,Macrocycle Conformational Sampling...,MacroModel
macromodel_mcsd,MacroModel,,,MC/SD...,MacroModel
macromodel_minimization,MacroModel,,,Minimization...,MacroModel
macromodel_start_job_from_file,MacroModel,,,Start Job From File...,MacroModel
macromol_posefilter_gui.panel,,,,Macromolecular Pose Filter...,Biologics
maestro_ld_export_gui.panel,,,Export structures and data from a Maestro project or file to a LiveDesign project.<br/>Opens the Maestro to LiveDesign Export Panel.,,
maestro_ld_import_gui.panel,,,Import structures and data from a LiveDesign project into Maestro.<br/>Opens the Import Live Report Panel.,,
maestro_ld_register_gui.panel,,,"Register structures from the Maestro project with LiveDesign, and add the LiveDesign virtual ID to the structures in Maestro as a property.<br/>Opens the Register via LiveDesign panel.",,
maestro_preferences,,,Set preferences for Maestro appearance and behavior.<br/>Opens the Preferences panel.,,
maestro_quit,,,"Quit Maestro, on optional confirmation.<br/>Opens the Quit dialog box.",,
main_applications_show_favorites,,,Show only the menu items that were designated as favorites in the Application Tree panel.,,
main_clipping_planes,,,Show or hide the clipping planes window.,,
main_command_input,,,"Show or hide the Commands text box, for execution of Maestro commands.",,
main_diagnostics,,,Report on the status of licensing or remote hosts and diagnose issues. <br/>Opens the Diagnostics panel.,,
main_display_coordinate_axes,,,"Display a set of coordinate axes in the lower left corner of the Workspace. These axes show the orientation of the Workspace view, and rotate along with the structures when you perform a rotation.",,
main_display_dipole_moment,,,"Display the dipole moments of the entries in the Workspace. The dipole moment is displayed as an arrow with the base at the geometric centroid of the molecule.The dipole moment calculated by Jaguar is displayed if available, otherwise it is calculated from the partial charges, if available.",,
main_edit_adjust_carbonyl,,,Rotate the plane of the carbonyl unit in the picked peptide linkage around the axis joining the atoms to which it is attached. Drag horizontally with the left mouse button or use the mouse wheel to perform the adjustment.,,
main_edit_adjust_cistrans,,,Convert the picked peptide linkage betwen the cis and the trans geometry.,,
main_edit_adjust_delete,,,Remove adjustment markers from the Workspace along with the adjustment definitions.,,
main_edit_adjust_next,,,Select the next adjustment for further adjustment.,,
main_edit_adjust_panel_angle,,,Adjust the angle between three atoms.<br/>Opens the Adjust panel at the Angle tab.,,
main_edit_adjust_panel_chirality,,,Invert the chirality of a chiral center.<br/>Opens the Adjust panel at the Chirality tab.,,
main_edit_adjust_panel_dihedral,,,Adjust the dihedral angle between four atoms.<br/>Opens the Adjust panel at the Dihedral tab.,,
main_edit_adjust_panel_distance,,,Adjust the distance between two atoms.<br/>Opens the Adjust panel at the Distance tab.,,
main_edit_adjust_peptide,,,Rotate the plane of the picked peptide linkage around the axis joining the alpha carbons. Drag horizontally with the left mouse button or use the mouse wheel to perform the adjustment.,,
main_edit_adjust_pick,,,"Pick atoms to adjust the currently selected geometric parameter (distance, angle, dihedral, chirality).",,
main_edit_adjust_previous,,,Select the previous adjustment for further adjustment.,,
main_edit_adjust_rotamers,,,Select rotamers for proteins from a set of known amino acid rotamers.<br/>Opens the Rotamers panel.,,
main_edit_create_zob,,,Create zero-order bonds from metals to the nearest atom in each ligand.,,
main_edit_delete_adjustments,,,Delete all adjustment markers from the Workspace along with the adjustment definitions.,,
main_edit_delete_all,,,"Delete all atoms from all entries that are in the Workspace. The atoms are removed from the project entries, not just from the Workspace.",,
main_edit_delete_all_hydrogens,,,Delete all hydrogen atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_caption,,,Delete all captions from the Workspace.,,
main_edit_delete_contacts,,,Delete all contact markers from the Workspace.,,
main_edit_delete_displayed_atoms,,,"Delete the displayed atoms. The atoms are removed from the structures as well as from the Workspace. The Workspace appears empty, but there may be hidden (undisplayed) atoms still in the Workspace.",,
main_edit_delete_hbonds,,,Delete all H-bond markers from the Workspace.,,
main_edit_delete_heavy_atoms,,,Delete all heavy (nonhydrogen) atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_highlight_text,,,Delete all highlight text from the Workspace.,,
main_edit_delete_ions,,,Delete all ions. The ions are removed from the structures as well as from the Workspace.,,
main_edit_delete_labels,,,Delete all labels from the Workspace.,,
main_edit_delete_ligands,,,Delete all ligand atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_measurements,,,Delete all measurement markers from the Workspace.,,
main_edit_delete_membrane,,,Delete all membrane atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_metals,,,Delete all metal atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_nonpolar_ligand_hydrogens,,,Delete all nonpolar ligand hydrogen atoms. The atoms are removed from the structures as well as from the Workspace.,,
main_edit_delete_nonpolay_hydrogen,,,Delete all nonpolar hydrogen atoms. The atoms are removed from the structures as well as from the Workspace.,,
